path,reason
05_results/reference/2026-08-04-fourmethod-summary-90.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-headline-sevenmethod-summary.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-paired-tests-e3.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-paired-tests.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-rolling-origin-belgrade.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-05-belgrade-characterization.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-09-02-core-belgrade-basemodel.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-02-core-belgrade-per-facility.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-02-core-birmingham-basemodel.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-02-core-birmingham-per-facility.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-02-corrected-headline-gcal.csv,produced ad hoc in an earlier stage; NO writer anywhere in the tree (recorded in 2026-09-04-x08-reaggregate.py's header)
05_results/reference/2026-09-02-delay-sensitivity.csv,produced ad hoc in an earlier stage; NO writer anywhere in the tree (recorded in 2026-09-04-x08-reaggregate.py's header)
05_results/reference/2026-09-02-phase4-criterion-preview.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-02-v2-representativeness.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-03-e3-summary.csv,produced ad hoc in an earlier stage; NO writer anywhere in the tree (recorded in 2026-09-04-x08-reaggregate.py's header)
05_results/reference/2026-09-03-stuck-sensor-diagnostic.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-03-stuck-sensor-impact.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-04-daily-coverage-belgrade.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-04-determinism-probe.csv,diagnostic; contributes to no reported number and is deliberately not a runner step
05_results/reference/2026-09-04-environment-recorded.csv,records THIS machine's environment; a replicator's own values will differ by design
05_results/reference/2026-09-04-phase4-safe-mechanism.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-04-vignette-repro-control-requests.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-04-vignette-repro-control.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-04-window-confound.csv,no live script regenerates it; retained as evidence for a logged claim
05_results/reference/2026-09-05-agaci-x08-amplification-probe.csv,diagnostic; contributes to no reported number and is deliberately not a runner step
05_results/reference/2026-09-05-agaci-x08-bistability-probe.csv,diagnostic; contributes to no reported number and is deliberately not a runner step
05_results/reference/2026-09-05-ngboost-determinism-probe.csv,diagnostic; contributes to no reported number and is deliberately not a runner step
05_results/reference/2026-09-05-ngboost-reseed-before-after.csv,diagnostic; contributes to no reported number and is deliberately not a runner step
